,title,name,type,img
129,Historical Figures (100's),Hadrian,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
130,Historical Figures (1900s),Kim Il-Sung (김일성),ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
131,Historical Figures (1400s),Lisa del Giocondo (Mona Lisa),INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
132,Historical Figures (1900s),Reinhard Heydrich,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
133,Historical Figures (1900s),Idi Amin Dada,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
134,Historical Figures (1900s),Rudolf Hess,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
135,Historical Figures (1900s),Oskar Schindler,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
136,Historical Figures (1900s),Porfirio Diaz,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
137,Historical Figures (1900s),Alexei Nikolaevich Romanov,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
138,Historical Figures (1500s),Catherine Howard,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
139,Historical Figures (800s),Alfred the Great,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
140,Historical Figures (1700s),Alexander Suvorov,INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
141,Historical Figures (1500s),Anne of Cleves,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
142,Historical Figures (900s),Olga of Kyiv,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
143,Historical Figures (1900s),King Faisal Bin Abdulaziz,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
144,Historical Figures (1st Millenium BCE),Ashoka,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
145,Historical Figures (1900s),J. Edgar Hoover,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
146,Historical Figures (1800s),Pedro I of Brazil,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
147,Historical Figures (1st Millenium BCE),Aristophanes,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
148,Historical Figures (1100s),Richard I of England,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
149,Historical Figures (1000's BCE),Hammurabi,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
150,Historical Figures (1800s),Alois Hitler,ESTJ,https://www.personality-database.com/profile_images/67542.png
151,Historical Figures (1900s),Salvador Allende,ENFJ,https://www.personality-database.com/profile_images/54845.png
152,Historical Figures (1900s),T. E. Lawrence,INFJ,https://www.personality-database.com/profile_images/37057.png
153,Historical Figures (1900s),Nikita Khrushchev,ESFP,https://www.personality-database.com/profile_images/40833.png
154,Historical Figures (100's),Commodus,ESFP,https://www.personality-database.com/profile_images/35766.png
155,Historical Figures (1700s),George III,ESTJ,https://www.personality-database.com/profile_images/18125.png
156,Historical Figures (1400s),Richard III of England,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
157,Historical Figures (1800s),Abdel-Kader El Djezairi,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
158,Historical Figures (1500s),Henry VII of England,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
159,Historical Figures (1900s),Ferdinand Marcos,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
160,Historical Figures (1500s),Yi Sun-Sin,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
161,Historical Figures (1500s),Francis Drake,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
162,Historical Figures (1600s),"Aurangzeb Alamgir, Mughal Emperor",ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
163,Historical Figures (1700s),"Edward ""Blackbeard"" Teach (Pirate)",ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
164,Historical Figures (1800s),"Wilhelm I. / William I, German Emperor",INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
165,Historical Figures (1300s),"Charles IV, Holy Roman Emperor",ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
166,Historical Figures (1900s),Thomas Sankara,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
167,Historical Figures (1800s),Franz Joseph I of Austria,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
168,Historical Figures (1st Millenium BCE),Scipio Africanus,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
169,Historical Figures (1100s),Henry I of England,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
170,Historical Figures (300's),Julian,INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
